Číslo obce	Obec	Voliči	Vydané obálky	Platné hlasy	Občanská demokratická strana, Řád národa - Vlastenecká unie, CESTA ODPOVĚDNÉ SPOLEČNOSTI, Česká str.sociálně demokrat., Radostné Česko, STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Čech a Moravy, Strana zelených, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodných občanů, Blok proti islam.-Obran.domova, Občanská demokratická aliance, Česká pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Čsl. M.Sládka, Křesť.demokr.unie-Čs.str.lid., Česká strana národně sociální, REALISTÉ, SPORTOVCI, Dělnic.str.sociální spravedl., Svob.a př.dem.-T.Okamura (SPD), Strana Práv Občanů
545406	Benešov nad Černou	1 000	547	538	43, 3, 0, 24, 2, 12, 64, 15, 5, 7, 1, 2, 28, 0, 10, 214, 0, 0, 45, 2, 5, 1, 1, 54, 0
545414	Besednice	666	420	417	58, 1, 0, 30, 1, 9, 56, 3, 4, 4, 0, 0, 26, 0, 20, 144, 0, 1, 35, 0, 2, 0, 0, 23, 0
536253	Bohdalovice	234	106	105	13, 0, 0, 9, 0, 1, 13, 0, 4, 0, 0, 0, 7, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 20, 0
545431	Brloh	839	515	510	69, 0, 0, 25, 1, 26, 47, 6, 4, 12, 0, 1, 46, 1, 19, 143, 0, 4, 45, 0, 4, 0, 1, 54, 2
545449	Bujanov	418	196	195	9, 0, 3, 11, 1, 4, 34, 1, 3, 1, 0, 0, 17, 0, 7, 73, 0, 0, 2, 0, 0, 0, 0, 29, 0
545457	Černá v Pošumaví	694	388	386	37, 3, 0, 32, 1, 18, 45, 6, 2, 4, 0, 1, 30, 0, 19, 120, 0, 2, 6, 0, 5, 0, 3, 50, 2
545392	Český Krumlov	10 456	6 238	6 212	964, 7, 1, 400, 10, 180, 599, 119, 57, 126, 6, 17, 686, 7, 407, 1 624, 5, 6, 296, 10, 97, 8, 28, 540, 12
545465	Dolní Dvořiště	989	458	452	55, 0, 0, 23, 0, 27, 67, 10, 6, 2, 1, 2, 25, 2, 18, 119, 0, 1, 17, 0, 4, 0, 1, 70, 2
545473	Dolní Třebonín	1 021	633	628	103, 0, 0, 42, 3, 32, 45, 8, 1, 2, 0, 2, 64, 1, 33, 169, 1, 1, 28, 0, 7, 2, 0, 82, 2
545481	Frymburk	1 055	623	614	99, 1, 1, 44, 1, 17, 60, 9, 4, 8, 1, 4, 63, 0, 39, 171, 0, 0, 18, 0, 1, 2, 0, 70, 1
545490	Holubov	856	624	622	78, 2, 1, 46, 3, 33, 58, 5, 2, 14, 0, 0, 74, 3, 32, 155, 0, 1, 37, 3, 9, 1, 2, 59, 4
545503	Horní Dvořiště	391	171	170	16, 1, 0, 15, 0, 8, 29, 0, 2, 6, 0, 0, 7, 0, 3, 50, 0, 2, 6, 0, 2, 0, 1, 21, 1
545511	Horní Planá	1 804	1 013	1 005	141, 0, 1, 57, 2, 35, 169, 10, 9, 7, 0, 0, 76, 2, 38, 304, 0, 4, 30, 1, 5, 2, 2, 101, 9
545520	Hořice na Šumavě	667	321	317	23, 1, 2, 15, 0, 10, 36, 5, 8, 6, 0, 1, 29, 0, 24, 120, 0, 0, 6, 0, 1, 0, 0, 30, 0
536229	Chlumec	78	68	68	16, 0, 0, 1, 0, 1, 3, 2, 0, 0, 0, 0, 8, 0, 3, 11, 0, 0, 12, 1, 0, 0, 0, 10, 0
545546	Chvalšiny	1 019	598	595	63, 3, 0, 37, 1, 23, 56, 6, 7, 6, 0, 2, 61, 1, 23, 206, 0, 2, 17, 0, 4, 1, 2, 74, 0
545554	Kájov	1 390	853	847	104, 0, 0, 51, 0, 29, 79, 13, 5, 14, 0, 2, 76, 0, 59, 256, 0, 1, 46, 2, 9, 3, 2, 94, 2
545562	Kaplice	5 142	2 843	2 826	278, 7, 2, 197, 8, 106, 292, 34, 26, 24, 3, 6, 226, 1, 71, 966, 3, 2, 158, 4, 28, 3, 2, 375, 4
545571	Křemže	2 257	1 469	1 458	198, 3, 2, 93, 5, 60, 111, 14, 14, 28, 1, 3, 202, 2, 80, 379, 3, 4, 94, 4, 16, 7, 3, 130, 2
545597	Lipno nad Vltavou	508	312	311	61, 0, 0, 26, 0, 17, 7, 1, 3, 9, 1, 1, 44, 0, 17, 71, 1, 0, 9, 0, 11, 0, 1, 31, 0
545601	Loučovice	1 330	625	622	29, 0, 0, 31, 1, 14, 78, 9, 9, 9, 0, 0, 65, 1, 6, 253, 0, 1, 16, 0, 3, 3, 0, 89, 5
545619	Malonty	1 058	577	576	30, 3, 0, 42, 5, 27, 96, 9, 9, 7, 0, 0, 28, 1, 9, 208, 1, 0, 20, 0, 3, 2, 0, 73, 3
536296	Malšín	142	82	80	10, 0, 0, 2, 0, 2, 10, 0, 1, 3, 0, 0, 10, 0, 4, 27, 0, 0, 3, 0, 0, 0, 1, 7, 0
545627	Mirkovice	363	219	218	31, 0, 0, 15, 2, 6, 15, 2, 0, 7, 0, 0, 18, 0, 16, 61, 1, 1, 23, 3, 5, 1, 0, 11, 0
598623	Mojné	183	129	129	19, 0, 1, 8, 0, 5, 6, 0, 2, 3, 0, 1, 7, 0, 3, 34, 0, 0, 17, 0, 5, 0, 1, 17, 0
545643	Netřebice	391	232	232	22, 0, 2, 17, 1, 10, 29, 2, 4, 9, 0, 0, 18, 1, 3, 65, 0, 0, 13, 1, 5, 0, 0, 29, 1
513661	Nová Ves	325	203	200	21, 0, 0, 15, 0, 9, 15, 14, 1, 2, 0, 2, 18, 0, 3, 62, 0, 0, 19, 0, 2, 0, 0, 15, 2
545660	Omlenice	428	237	237	7, 2, 0, 14, 1, 7, 21, 4, 2, 3, 0, 0, 16, 0, 7, 111, 0, 1, 9, 0, 1, 0, 1, 28, 2
545694	Pohorská Ves	206	109	108	26, 1, 0, 5, 0, 2, 4, 0, 4, 0, 0, 0, 5, 0, 10, 33, 0, 0, 2, 1, 0, 0, 2, 13, 0
500194	Polná na Šumavě	413	324	318	23, 3, 2, 18, 0, 9, 18, 1, 2, 14, 1, 1, 21, 0, 6, 114, 0, 1, 15, 0, 4, 0, 1, 62, 2
545716	Přední Výtoň	218	143	141	24, 0, 1, 10, 0, 3, 19, 3, 0, 0, 0, 0, 16, 0, 8, 46, 0, 0, 2, 0, 0, 1, 0, 8, 0
545724	Přídolí	518	255	254	15, 0, 0, 16, 1, 6, 21, 0, 3, 5, 0, 0, 19, 0, 10, 81, 6, 0, 24, 0, 6, 0, 1, 40, 0
545732	Přísečná	166	120	120	26, 0, 0, 6, 0, 6, 4, 0, 0, 2, 0, 1, 12, 0, 4, 38, 0, 0, 3, 0, 2, 0, 0, 16, 0
545767	Rožmberk nad Vltavou	280	179	178	36, 0, 0, 12, 0, 6, 15, 1, 3, 3, 0, 0, 15, 0, 7, 47, 0, 1, 6, 0, 0, 0, 0, 25, 1
545775	Rožmitál na Šumavě	347	198	195	12, 0, 0, 11, 0, 8, 27, 2, 6, 3, 0, 0, 14, 0, 6, 66, 0, 0, 1, 1, 1, 0, 0, 37, 0
545805	Soběnov	291	208	208	11, 0, 2, 20, 3, 8, 8, 2, 0, 1, 0, 0, 9, 0, 13, 72, 0, 0, 41, 0, 0, 0, 1, 16, 1
536245	Srnín	253	196	196	40, 1, 0, 4, 0, 8, 9, 3, 9, 3, 0, 0, 19, 1, 16, 47, 0, 2, 7, 0, 0, 0, 1, 24, 2
551538	Střítež	300	183	182	27, 2, 0, 10, 0, 2, 16, 2, 2, 0, 2, 1, 15, 1, 4, 66, 0, 0, 14, 0, 4, 0, 0, 13, 1
545813	Světlík	191	105	102	5, 1, 0, 8, 0, 1, 14, 1, 5, 3, 0, 0, 2, 0, 4, 18, 0, 0, 14, 0, 0, 0, 8, 18, 0
545821	Velešín	3 142	1 875	1 865	205, 1, 6, 119, 2, 67, 146, 12, 15, 31, 6, 5, 180, 1, 103, 595, 6, 0, 143, 1, 18, 1, 1, 197, 4
545830	Větřní	3 097	1 464	1 458	128, 2, 2, 107, 3, 35, 180, 21, 5, 22, 2, 3, 115, 1, 44, 434, 2, 2, 39, 1, 11, 1, 69, 225, 4
536300	Věžovatá Pláně	115	89	88	6, 0, 0, 4, 1, 6, 5, 0, 0, 0, 0, 0, 11, 0, 8, 27, 0, 0, 15, 0, 0, 0, 0, 5, 0
545848	Vyšší Brod	1 806	951	947	119, 2, 1, 58, 2, 75, 86, 29, 10, 10, 0, 1, 74, 0, 67, 263, 1, 1, 29, 1, 9, 2, 2, 101, 4
545864	Zlatá Koruna	617	407	405	49, 0, 0, 18, 1, 25, 43, 6, 3, 3, 0, 2, 36, 0, 44, 97, 2, 0, 20, 0, 7, 1, 12, 35, 1
545872	Zubčice	331	209	206	19, 0, 0, 11, 0, 17, 5, 3, 1, 2, 0, 0, 24, 0, 14, 60, 1, 0, 33, 0, 1, 0, 0, 15, 0
536237	Zvíkov	74	45	45	2, 0, 0, 1, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 1, 17, 0, 0, 12, 0, 0, 0, 0, 6, 0
